,N,Query,Annotation_date,Number,Individual_code,Individual,Birth_year,File_name,Original_link,Hyperlink,Context,Item,Realization_raw,Realization_type,Binary_response,Stressed,Gram_type,Case,pos
21,22,words_in_uju,1606,75514,анс1925,анс,1925.0,20130705a-ans,,http://192.168.0.50/Pushkino/OUT/20130705a-ans-2524806-2534066.wav,"Ну, он сказал то, что говорит как война будет, дак и на #передовую# пойдут партийцы.",передовую,uju,VjV,nondialectal,Y,nonpronominal,acc,2529436.0
22,23,words_in_uju,1606,76343,анс1925,анс,1925.0,20130705a-ans,,http://192.168.0.50/Pushkino/OUT/20130705a-ans-3052043-3055353.wav,Оставь ты хоть #какую# - нибудь мне подружку!,какую,uju,VjV,nondialectal,Y,pronominal,acc,3053698.0
23,24,words_in_uju,1606,261866,анс1925,анс,1925.0,20140622c-ans-1c,,http://192.168.0.50/Pushkino/OUT/20140622c-ans-1c-274687-277542.wav,"Да - да, #бестужевскую# , бестужевскую, да.",бестужевскую,uju,VjV,nondialectal,N,nonpronominal,acc,276114.5
24,25,words_in_uju,1606,261868,анс1925,анс,1925.0,20140622c-ans-1c,,http://192.168.0.50/Pushkino/OUT/20140622c-ans-1c-274687-277542.wav,"Да - да, бестужевскую, #бестужевскую# , да.",бестужевскую,uju,VjV,nondialectal,N,nonpronominal,acc,276114.5
25,26,words_in_uju,1606,263195,анс1925,анс,1925.0,20140622c-ans-1c,,http://192.168.0.50/Pushkino/OUT/20140622c-ans-1c-1019567-1024302.wav,Вот как. А русские - то все пошли на #передовую# .,передовую,uju,VjV,nondialectal,Y,nonpronominal,acc,1021934.5
26,27,words_in_uju,1606,272570,анс1925,анс,1925.0,20140622c-ans-1b,,http://192.168.0.50/Pushkino/OUT/20140622c-ans-1b-680807-683337.wav,"Печку - то, #русскую# - то.",русскую,uju,VjV,nondialectal,N,nonpronominal,acc,682072.0
27,28,words_in_uju,1606,272830,анс1925,анс,1925.0,20140622c-ans-1b,,http://192.168.0.50/Pushkino/OUT/20140622c-ans-1b-871536-879055.wav,"Вот #которую# вырастишь в саду, которую не надо дак, едим вот, отбросы все скотине.",которую,uu,VV,dialectal,N,pronominal,acc,875295.5
28,29,words_in_uju,1606,272835,анс1925,анс,1925.0,20140622c-ans-1b,,http://192.168.0.50/Pushkino/OUT/20140622c-ans-1b-871536-879055.wav,"Вот которую вырастишь в саду, #которую# не надо дак, едим вот, отбросы все скотине.",которую,u,V,dialectal,N,pronominal,acc,875295.5
29,30,words_in_uju,1606,274750,анс1925,анс,1925.0,20140622c-ans-1b,,http://192.168.0.50/Pushkino/OUT/20140622c-ans-1b-1957713-1969339.wav,"Когда едим, тогда печь поставим #русскую# , оно все за = свернется, и оно все равно как... как сказать - то.",русскую,uju,VjV,nondialectal,N,nonpronominal,acc,1963526.0
30,31,words_in_uju,1606,340201,анс1925,анс,1925.0,20140622c-ans-1a,,http://192.168.0.50/Pushkino/OUT/20140622c-ans-1a-487340-495740.wav,За одно. Он только сказал ещё одно слово тамоки. Что вот война будет - дак партийцы в #первую# очередь пойдут. И всё.,первую,uju,VjV,nondialectal,N,nonpronominal,acc,491540.0
