,Index,Subject,Birth year,Record,Link,FileLink,Context,Word,Dissimilation,Num,pos
445,605776,мпс1935,1935,20150716e-mps-1,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-529867-531627.wav,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-529867-531627.wav,да #кто# ее знает,кто,++,1.0,530747.0
446,606036,мпс1935,1935,20150716e-mps-1,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-672962-678474.wav,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-672962-678474.wav,"сейчас тишина, только буде пьяный #кто# где бродит да",кто,++,1.0,675718.0
447,606248,мпс1935,1935,20150716e-mps-1,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-808669-810371.wav,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-808669-810371.wav,"да #кто# их знает, как",кто,++,1.0,809520.0
448,606378,мпс1935,1935,20150716e-mps-1,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-887545-894962.wav,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-887545-894962.wav,"свои дак, свои дак, #никто# не доспрашивает, ничего. Свои, дак ходят.",никто,++,1.0,891253.5
449,606565,мпс1935,1935,20150716e-mps-1,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-984594-991404.wav,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-984594-991404.wav,"что вот наколдуют, дак корова в лес убежит, и #никто# не видит ее, и стоит, это стоит",никто,++,1.0,987999.0
450,608228,мпс1935,1935,20150716e-mps-1,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-2043131-2049865.wav,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-2043131-2049865.wav,"Всё заросло, #никто# не пашет, не нужно, ничего не нужно, все поля, во..",никто,++,1.0,2046498.0
451,613274,мпс1935,1935,20150716e-mps-1,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-4902386-4905071.wav,http://www.parasolcorpus.org/Pushkino/OUT/20150716e-mps-1-4902386-4905071.wav,Да #кто# знает кем.,кто,++,1.0,4903728.5
452,502968,мпс1935,1935,20150720d-mps-1,http://www.parasolcorpus.org/Pushkino/OUT/20150720d-mps-1-1547498-1548943.wav,http://www.parasolcorpus.org/Pushkino/OUT/20150720d-mps-1-1547498-1548943.wav, #Кто# ?,Кто,,1.0,1548220.5
453,60390,тан1937,1937,20140624d-sek,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3336096-3340164.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3336096-3340164.wav," #Кто# дубом красил, кто краской какой - нибудь < покрасят >",,????,,3338130.0
454,61764,тан1937,1937,20140624d-sek,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3864063-3867627.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3864063-3867627.wav," #Никто# не шлялся, раньше ведь пенсии не было.",,????,,3865845.0
455,60367,тан1937,1937,20140624d-sek , http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3322133-3322879.wav , http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3322133-3322879.wav , #Кто# ?        ,кто,no,0.0,3322506.0
